iter	Passed	Remaining
0	1	165
1	3	170
2	4	155
3	5	135
4	6	130
5	8	127
6	9	122
7	10	118
8	11	118
9	13	117
10	14	116
11	15	114
12	17	117
13	18	115
14	19	113
15	21	110
16	22	108
17	23	106
18	24	104
19	25	102
20	26	99
21	27	97
22	28	95
23	29	94
24	30	91
25	31	89
26	33	89
27	35	90
28	36	88
29	37	86
30	38	84
31	38	82
32	40	81
33	41	80
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	71
41	49	68
42	50	67
43	51	66
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	59	59
50	60	58
51	61	57
52	62	55
53	64	54
54	64	53
55	66	51
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	98	18
84	99	17
85	100	16
86	101	15
87	101	13
88	102	12
89	103	11
90	104	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
