iter	Passed	Remaining
0	80	80325
1	83	41851
2	86	28688
3	88	22015
4	95	18914
5	97	16142
6	99	14138
7	102	12711
8	108	11915
9	110	10924
10	115	10394
11	119	9814
12	126	9591
13	130	9222
14	134	8801
15	139	8554
16	142	8239
17	144	7902
18	151	7824
19	154	7546
20	158	7376
21	160	7127
22	167	7103
23	171	6966
24	173	6779
25	176	6595
26	185	6700
27	190	6600
28	195	6543
29	202	6540
30	206	6448
31	207	6284
32	209	6138
33	211	6018
34	215	5929
35	217	5814
36	219	5702
37	221	5599
38	223	5496
39	259	6220
40	261	6125
41	264	6024
42	266	5935
43	269	5849
44	271	5753
45	273	5668
46	280	5684
47	283	5618
48	284	5528
49	287	5471
50	290	5406
51	292	5325
52	295	5282
53	297	5218
54	300	5160
55	302	5104
56	305	5046
57	307	4999
58	309	4939
59	311	4884
60	313	4832
61	315	4778
62	318	4731
63	320	4688
64	322	4644
65	324	4591
66	327	4556
67	328	4508
68	330	4461
69	332	4418
70	334	4382
71	337	4344
72	339	4306
73	340	4265
74	342	4229
75	345	4200
76	348	4174
77	351	4150
78	353	4115
79	354	4076
80	356	4041
81	357	4006
82	358	3964
83	361	3945
84	365	3934
85	367	3905
86	369	3874
87	371	3848
88	372	3817
89	375	3792
90	377	3772
91	379	3747
92	381	3723
93	383	3700
94	385	3673
95	387	3650
96	390	3637
97	393	3617
98	395	3603
99	398	3584
100	400	3563
101	402	3543
102	404	3523
103	406	3503
104	409	3489
105	411	3473
106	414	3456
107	416	3438
108	418	3418
109	420	3400
110	424	3397
111	426	3382
112	430	3378
113	432	3361
114	434	3343
115	436	3324
116	439	3317
117	443	3312
118	445	3299
119	448	3288
120	451	3277
121	452	3258
122	455	3249
123	459	3246
124	462	3240
125	465	3231
126	468	3218
127	472	3218
128	475	3207
129	477	3194
130	479	3182
131	481	3168
132	484	3160
133	487	3149
134	489	3137
135	493	3132
136	496	3125
137	498	3116
138	500	3102
139	502	3089
140	507	3092
141	510	3081
142	512	3068
143	515	3063
144	518	3054
145	520	3042
146	522	3029
147	524	3016
148	526	3004
149	530	3005
150	532	2996
151	536	2992
152	538	2980
153	540	2970
154	543	2961
155	547	2959
156	550	2954
157	552	2942
158	554	2930
159	556	2920
160	557	2905
161	560	2901
162	564	2896
163	566	2887
164	574	2907
165	578	2908
166	581	2899
167	584	2896
168	586	2885
169	589	2878
170	593	2877
171	596	2873
172	599	2864
173	601	2856
174	604	2851
